
=================================================================
  ML ENSEMBLE CONFIGURATION (4 models)
=================================================================
  - logisticregression.pkl         | Weight: 0.25 | Type: classifier
  - xgbclassifier.pkl              | Weight: 0.25 | Type: classifier
  - ridge.pkl                      | Weight: 0.25 | Type: regressor
  - xgbregressor.pkl               | Weight: 0.25 | Type: regressor
=================================================================


=================================================================
  Trend Signal Engine — Quant Research Backtester
=================================================================
  Period        : 2024-01-01  →  2026-03-31
  Tickers       : 300
  Capital       : $100,000
  Max Positions : 10
  Holding       : 5 days
  Slippage      : 1.0 bps
  Commission    : $1.00 / trade
  Min |Signal|  : 0.01
  Signal Mode   : Single ML model
  Shorts        : ON
  Regime        : ON
  Sector Cap    : OFF
  Cross-section : TOP_LONGS=5  TOP_SHORTS=5  market_neutral=True
  Risk          : sizing=equal, max_pos=12%, stop=-3.0%
  [23/300] LLY… [23/300] LLY OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [24/300] COHR… [24/300] COHR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [25/300] WMT… [25/300] WMT OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [26/300] WDC… [26/300] WDC OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [27/300] COIN… [27/300] COIN OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [28/300] UNH… [28/300] UNH OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [29/300] LRCX… [29/300] LRCX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [30/300] AMAT… [30/300] AMAT OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [31/300] APP… [31/300] APP OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [32/300] BAC… [32/300] BAC OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [33/300] V… [33/300] V OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [34/300] GEV… [34/300] GEV OHLCV window: first_date=2024-03-27, last_date=2026-04-01, n=505
  [35/300] GS… [35/300] GS OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [36/300] HOOD… [36/300] HOOD OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [37/300] JNJ… [37/300] JNJ OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [38/300] CAT… [38/300] CAT OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [39/300] NOW… [39/300] NOW OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [40/300] GLW… [40/300] GLW OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [41/300] INTU… [41/300] INTU OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [42/300] CSCO… [42/300] CSCO OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [43/300] COST… [43/300] COST OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [44/300] BKNG… [44/300] BKNG OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [45/300] CRWD… [45/300] CRWD OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [46/300] C… [46/300] C OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [47/300] PG… [47/300] PG OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [48/300] MA… [48/300] MA OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [49/300] ADBE… [49/300] ADBE OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [50/300] ACN… [50/300] ACN OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [51/300] QCOM… [51/300] QCOM OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [52/300] GE… [52/300] GE OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [53/300] DELL… [53/300] DELL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [54/300] ABBV… [54/300] ABBV OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [55/300] WFC… [55/300] WFC OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [56/300] BA… [56/300] BA OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [57/300] KLAC… [57/300] KLAC OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [58/300] IBM… [58/300] IBM OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [59/300] HD… [59/300] HD OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [60/300] COP… [60/300] COP OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [61/300] STX… [61/300] STX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [62/300] UBER… [62/300] UBER OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [63/300] LIN… [63/300] LIN OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [64/300] VZ… [64/300] VZ OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [65/300] APH… [65/300] APH OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [66/300] ABT… [66/300] ABT OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [67/300] NEM… [67/300] NEM OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [68/300] AXP… [68/300] AXP OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [69/300] KO… [69/300] KO OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [70/300] ADI… [70/300] ADI OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [71/300] PANW… [71/300] PANW OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [72/300] TXN… [72/300] TXN OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [73/300] RTX… [73/300] RTX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [74/300] BX… [74/300] BX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [75/300] T… [75/300] T OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [76/300] MRK… [76/300] MRK OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [77/300] MS… [77/300] MS OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [78/300] CIEN… [78/300] CIEN OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [79/300] LMT… [79/300] LMT OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [80/300] OXY… [80/300] OXY OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [81/300] DIS… [81/300] DIS OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [82/300] FCX… [82/300] FCX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [83/300] TMUS… [83/300] TMUS OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [84/300] SMCI… [84/300] SMCI OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [85/300] PFE… [85/300] PFE OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [86/300] CMCSA… [86/300] CMCSA OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [87/300] VLO… [87/300] VLO OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [88/300] TER… [88/300] TER OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [89/300] COF… [89/300] COF OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [90/300] TMO… [90/300] TMO OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [91/300] MCD… [91/300] MCD OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [92/300] PEP… [92/300] PEP OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [93/300] SLB… [93/300] SLB OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [94/300] BLK… [94/300] BLK OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [95/300] SNPS… [95/300] SNPS OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [96/300] NEE… [96/300] NEE OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [97/300] SPGI… [97/300] SPGI OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [98/300] AMGN… [98/300] AMGN OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [99/300] ETN… [99/300] ETN OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [100/300] DAL… [100/300] DAL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [101/300] GILD… [101/300] GILD OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [102/300] HON… [102/300] HON OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [103/300] CEG… [103/300] CEG OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [104/300] ADP… [104/300] ADP OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [105/300] BSX… [105/300] BSX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [106/300] PYPL… [106/300] PYPL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [107/300] PM… [107/300] PM OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [108/300] CVNA… [108/300] CVNA OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [109/300] UAL… [109/300] UAL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [110/300] NKE… [110/300] NKE OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [111/300] ANET… [111/300] ANET OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [112/300] DVN… [112/300] DVN OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [113/300] BMY… [113/300] BMY OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [114/300] CF… [114/300] CF OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [115/300] SCHW… [115/300] SCHW OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [116/300] SATS… [116/300] SATS OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [117/300] WBD… [117/300] WBD OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [118/300] PH… [118/300] PH OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [119/300] EOG… [119/300] EOG OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [120/300] KKR… [120/300] KKR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [121/300] TGT… [121/300] TGT OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [122/300] RCL… [122/300] RCL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [123/300] SBUX… [123/300] SBUX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [124/300] DE… [124/300] DE OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [125/300] FDX… [125/300] FDX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [126/300] F… [126/300] F OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [127/300] CCL… [127/300] CCL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [128/300] ISRG… [128/300] ISRG OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [129/300] VST… [129/300] VST OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [130/300] DHR… [130/300] DHR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [131/300] UPS… [131/300] UPS OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [132/300] SYK… [132/300] SYK OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [133/300] WDAY… [133/300] WDAY OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [134/300] APO… [134/300] APO OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [135/300] TJX… [135/300] TJX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [136/300] UNP… [136/300] UNP OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [137/300] ELV… [137/300] ELV OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [138/300] MPC… [138/300] MPC OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [139/300] MDT… [139/300] MDT OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [140/300] CME… [140/300] CME OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [141/300] CDNS… [141/300] CDNS OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [142/300] FANG… [142/300] FANG OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [143/300] MCK… [143/300] MCK OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [144/300] LYB… [144/300] LYB OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [145/300] WELL… [145/300] WELL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [146/300] BKR… [146/300] BKR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [147/300] MMM… [147/300] MMM OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [148/300] VRTX… [148/300] VRTX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [149/300] MO… [149/300] MO OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [150/300] MCO… [150/300] MCO OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [151/300] LOW… [151/300] LOW OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [152/300] PGR… [152/300] PGR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [153/300] CRH… [153/300] CRH OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [154/300] PWR… [154/300] PWR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [155/300] XYZ… [155/300] XYZ OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [156/300] PSX… [156/300] PSX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [157/300] ROST… [157/300] ROST OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [158/300] DASH… [158/300] DASH OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [159/300] EQIX… [159/300] EQIX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [160/300] TTD… [160/300] TTD OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [161/300] HAL… [161/300] HAL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [162/300] DUK… [162/300] DUK OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [163/300] NOC… [163/300] NOC OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [164/300] GM… [164/300] GM OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [165/300] CVS… [165/300] CVS OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [166/300] FIX… [166/300] FIX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [167/300] MDLZ… [167/300] MDLZ OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [168/300] CB… [168/300] CB OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [169/300] EXPE… [169/300] EXPE OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [170/300] AMT… [170/300] AMT OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [171/300] HCA… [171/300] HCA OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [172/300] CL… [172/300] CL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [173/300] HWM… [173/300] HWM OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [174/300] PNC… [174/300] PNC OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [175/300] MPWR… [175/300] MPWR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [176/300] HLT… [176/300] HLT OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [177/300] MCHP… [177/300] MCHP OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [178/300] EQT… [178/300] EQT OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [179/300] USB… [179/300] USB OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [180/300] ADSK… [180/300] ADSK OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [181/300] CMG… [181/300] CMG OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [182/300] JCI… [182/300] JCI OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [183/300] TT… [183/300] TT OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [184/300] ORLY… [184/300] ORLY OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [185/300] ICE… [185/300] ICE OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [186/300] SHW… [186/300] SHW OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [187/300] LHX… [187/300] LHX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [188/300] DDOG… [188/300] DDOG OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [189/300] KR… [189/300] KR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [190/300] AZO… [190/300] AZO OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [191/300] DOW… [191/300] DOW OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [192/300] WM… [192/300] WM OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [193/300] ABNB… [193/300] ABNB OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [194/300] NRG… [194/300] NRG OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [195/300] SO… [195/300] SO OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [196/300] NXPI… [196/300] NXPI OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [197/300] MRSH… [197/300] MRSH OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [198/300] ZTS… [198/300] ZTS OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [199/300] ULTA… [199/300] ULTA OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [200/300] AEP… [200/300] AEP OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [201/300] CSX… [201/300] CSX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [202/300] MSI… [202/300] MSI OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [203/300] KEYS… [203/300] KEYS OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [204/300] KMB… [204/300] KMB OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [205/300] MAR… [205/300] MAR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [206/300] FITB… [206/300] FITB OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [207/300] LULU… [207/300] LULU OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [208/300] ROP… [208/300] ROP OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [209/300] MNST… [209/300] MNST OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [210/300] URI… [210/300] URI OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [211/300] LYV… [211/300] LYV OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [212/300] DG… [212/300] DG OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [213/300] CMI… [213/300] CMI OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [214/300] CI… [214/300] CI OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [215/300] AJG… [215/300] AJG OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [216/300] FTNT… [216/300] FTNT OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [217/300] NCLH… [217/300] NCLH OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [218/300] EA… [218/300] EA OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [219/300] ARES… [219/300] ARES OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [220/300] AKAM… [220/300] AKAM OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [221/300] WMB… [221/300] WMB OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [222/300] TDG… [222/300] TDG OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [223/300] COR… [223/300] COR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [224/300] PLD… [224/300] PLD OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [225/300] TEL… [225/300] TEL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [226/300] CTAS… [226/300] CTAS OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [227/300] AXON… [227/300] AXON OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [228/300] KMI… [228/300] KMI OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [229/300] MRNA… [229/300] MRNA OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [230/300] ECL… [230/300] ECL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [231/300] EL… [231/300] EL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [232/300] EXC… [232/300] EXC OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [233/300] FICO… [233/300] FICO OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [234/300] REGN… [234/300] REGN OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [235/300] OKE… [235/300] OKE OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [236/300] HBAN… [236/300] HBAN OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [237/300] AON… [237/300] AON OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [238/300] HPE… [238/300] HPE OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [239/300] GD… [239/300] GD OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [240/300] TRV… [240/300] TRV OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [241/300] EBAY… [241/300] EBAY OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [242/300] ODFL… [242/300] ODFL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [243/300] KVUE… [243/300] KVUE OHLCV window: first_date=2023-05-04, last_date=2026-04-01, n=730
  [244/300] EXE… [244/300] EXE OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [245/300] TFC… [245/300] TFC OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [246/300] ON… [246/300] ON OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [247/300] PCG… [247/300] PCG OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [248/300] LUV… [248/300] LUV OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [249/300] BDX… [249/300] BDX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [250/300] O… [250/300] O OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [251/300] PAYX… [251/300] PAYX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [252/300] CTSH… [252/300] CTSH OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [253/300] CAH… [253/300] CAH OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [254/300] RF… [254/300] RF OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [255/300] APD… [255/300] APD OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [256/300] TTWO… [256/300] TTWO OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
